URL_ID,URL,Positive_Score,Negative_Score,Polarity_Score,Subjectivity_Score,Avg_Sentence_Length,Percentage_Complex_Words,Fog_Index,AVG NUMBER OF WORDS PER SENTENCE,Complex_Word_Count,Word_Count,Syllable_Per_Word,Personal_Pronouns,Avg_Word_Length
Netclan20241078,https://insights.blackcoffer.com/advanced-ai-for-pedestrian-crossing-safety/,5,4,0.111111099,0.130434781,9.857142857,0.47826087,4.134161491,9.857142857,33,69,2.550724638,3,7.130434783
Netclan20241079,https://insights.blackcoffer.com/handgun-detection-using-yolo/,4,1,0.59999988,0.081967212,12.2,0.540983607,5.096393443,12.2,33,61,2.655737705,2,7.098360656
Netclan20241080,https://insights.blackcoffer.com/using-graph-technology-to-create-single-customer-view/,4,8,-0.333333306,0.133333332,9,0.588888889,3.835555556,9,53,90,2.744444444,4,7.233333333
Netclan20241081,https://insights.blackcoffer.com/car-detection-in-satellite-images/,11,2,0.692307639,0.08227848,9.294117647,0.449367089,3.897393894,9.294117647,71,158,2.449367089,8,6.651898734
Netclan20241082,https://insights.blackcoffer.com/building-a-physics-informed-neural-network-for-circuit-evaluation/,10,4,0.428571398,0.075675675,9.736842105,0.518918919,4.10230441,9.736842105,96,185,2.67027027,12,7.227027027
Netclan20241083,https://insights.blackcoffer.com/connecting-mongodb-database-to-power-bi-dashboard-dashboard-automation/,6,5,0.090909083,0.053921568,12,0.495098039,4.998039216,12,101,204,2.514705882,10,6.431372549
Netclan20241084,https://insights.blackcoffer.com/data-transformation/,20,13,0.212121206,0.134146341,10.25,0.333333333,4.233333333,10.25,82,246,2.276422764,11,6.296747967
Netclan20241085,https://insights.blackcoffer.com/e-commerce-store-analysis-purchase-behavior-ad-spend-conversion-traffic-etc/,7,1,0.749999906,0.041025641,10.26315789,0.605128205,4.34731444,10.26315789,118,195,2.723076923,14,6.769230769
Netclan20241086,https://insights.blackcoffer.com/kpi-dashboard-for-accountants/,9,0,0.999999889,0.052941176,15.45454545,0.505882353,6.384171123,15.45454545,86,170,2.617647059,6,6.952941176
Netclan20241087,https://insights.blackcoffer.com/return-on-advertising-spend-dashboard-marketing-automation-and-analytics-using-etl-and-dashboard/,24,4,0.714285689,0.066037736,12.47058824,0.535377358,5.202386238,12.47058824,227,424,2.768867925,6,7.20990566
Netclan20241088,https://insights.blackcoffer.com/ranking-customer-behaviours-for-business-strategy/,4,2,0.333333278,0.048780487,30.75,0.341463415,12.43658537,30.75,42,123,2.300813008,2,6.430894309
Netclan20241089,https://insights.blackcoffer.com/algorithmic-trading-for-multiple-commodities-markets-like-forex-metals-energy-etc/,5,0,0.9999998,0.028089887,11.86666667,0.438202247,4.921947566,11.86666667,78,178,2.54494382,1,7.033707865
Netclan20241090,https://insights.blackcoffer.com/trading-bot-for-forex/,2,1,0.333333222,0.06521739,46,0.260869565,18.50434783,46,12,46,2.326086957,1,6.282608696
Netclan20241091,https://insights.blackcoffer.com/python-model-for-the-analysis-of-sector-specific-stock-etfs-for-investment-purposes%ef%bf%bc/,7,2,0.555555494,0.06081081,11.38461538,0.432432432,4.726819127,11.38461538,64,148,2.5,4,6.959459459
Netclan20241092,https://insights.blackcoffer.com/medical-classification/,5,2,0.428571367,0.046052631,12.66666667,0.480263158,5.25877193,12.66666667,73,152,2.460526316,5,6.690789474
Netclan20241093,https://insights.blackcoffer.com/design-develop-bert-question-answering-model-explanations-with-visualization/,1,0,0.999999,0.016129032,20.66666667,0.532258065,8.479569892,20.66666667,33,62,2.774193548,2,7.225806452
Netclan20241094,https://insights.blackcoffer.com/design-and-develop-solution-to-anomaly-detection-classification-problems/,2,5,-0.428571367,0.075268816,10.33333333,0.634408602,4.387096774,10.33333333,59,93,2.903225806,5,7.021505376
Netclan20241095,https://insights.blackcoffer.com/an-etl-solution-for-currency-data-to-google-big-query/,1,12,-0.846153781,0.09489051,11.41666667,0.386861314,4.721411192,11.41666667,53,137,2.321167883,11,6.065693431
Netclan20241096,https://insights.blackcoffer.com/etl-and-mlops-infrastructure-for-blockchain-analytics/,2,0,0.9999995,0.012195122,23.42857143,0.426829268,9.542160279,23.42857143,70,164,2.317073171,0,6.615853659
Netclan20241097,https://insights.blackcoffer.com/an-agent-based-model-of-a-virtual-power-plant-vpp/,2,0,0.9999995,0.049999999,13.33333333,0.375,5.483333333,13.33333333,15,40,2.4,0,6.6
Netclan20241098,https://insights.blackcoffer.com/transform-api-into-sdk-library-and-widget/,9,1,0.79999992,0.107526881,23.25,0.408602151,9.46344086,23.25,38,93,2.516129032,1,6.88172043
Netclan20241099,https://insights.blackcoffer.com/integration-of-a-product-to-a-cloud-based-crm-platform/,5,6,-0.090909083,0.076388888,8.470588235,0.381944444,3.541013072,8.470588235,55,144,2.5,1,6.916666667
Netclan20241100,https://insights.blackcoffer.com/a-web-based-dashboard-for-the-filtered-data-retrieval-of-land-records/,10,3,0.538461497,0.073033707,13.69230769,0.382022472,5.629732066,13.69230769,68,178,2.466292135,0,6.685393258
Netclan20241101,https://insights.blackcoffer.com/integration-of-video-conferencing-data-to-the-existing-web-app/,1,0,0.999999,0.008333333,15,0.366666667,6.146666667,15,44,120,2.483333333,0,6.425
Netclan20241102,https://insights.blackcoffer.com/design-develop-an-app-in-retool-which-shows-the-progress-of-the-added-video/,2,0,0.9999995,0.039999999,25,0.44,10.176,25,22,50,2.36,2,6.16
Netclan20241103,https://insights.blackcoffer.com/auvik-connectwise-integration-in-grafana/,2,2,0,0.043010752,9.3,0.52688172,3.930752688,9.3,49,93,2.591397849,0,6.774193548
Netclan20241104,https://insights.blackcoffer.com/data-integration-and-big-data-performance-using-elk-stack/,3,2,0.19999996,0.037037037,10.38461538,0.451851852,4.334586895,10.38461538,61,135,2.703703704,2,7.155555556
Netclan20241105,https://insights.blackcoffer.com/web-data-connector/,1,1,0,0.01980198,9.181818182,0.396039604,3.831143114,9.181818182,40,101,2.445544554,1,6.514851485
Netclan20241106,https://insights.blackcoffer.com/an-app-for-updating-the-email-id-of-the-user-and-stripe-refund-tool-using-retool/,6,1,0.714285612,0.094594593,37,0.513513514,15.00540541,37,38,74,2.459459459,3,6.202702703
Netclan20241107,https://insights.blackcoffer.com/an-ai-ml-based-web-application-that-detects-the-correctness-of-text-in-a-given-video/,1,8,-0.777777691,0.079646017,37.66666667,0.398230088,15.2259587,37.66666667,45,113,2.230088496,2,6.185840708
Netclan20241108,https://insights.blackcoffer.com/website-tracking-and-insights-using-google-analytics-google-tag-manager/,17,2,0.789473643,0.048843188,12.5483871,0.547557841,5.238377975,12.5483871,213,389,2.596401028,3,6.853470437
Netclan20241109,https://insights.blackcoffer.com/dashboard-to-track-the-analytics-of-the-website-using-google-analytics-and-google-tag-manager/,17,1,0.88888884,0.044444444,12.27272727,0.503703704,5.110572391,12.27272727,204,405,2.585185185,1,6.77037037
Netclan20241110,https://insights.blackcoffer.com/power-bi-dashboard-on-operations-transactions-and-marketing-embedding-the-dashboard-to-web-app/,1,0,0.999999,0.027777777,12,0.444444444,4.977777778,12,16,36,2.555555556,0,6.583333333
Netclan20241111,https://insights.blackcoffer.com/nft-data-automation-looksrare-and-etl-tool/,4,3,0.142857122,0.054263565,9.214285714,0.403100775,3.846954596,9.214285714,52,129,2.348837209,3,6.240310078
Netclan20241112,https://insights.blackcoffer.com/optimize-the-data-scraper-program-to-easily-accommodate-large-files-and-solve-oom-errors/,4,2,0.333333278,0.074999999,11.42857143,0.45,4.751428571,11.42857143,36,80,2.5125,2,6.775
Netclan20241113,https://insights.blackcoffer.com/making-a-robust-way-to-sync-data-from-airtables-to-mongodb-using-python-etl-solution/,2,5,-0.428571367,0.051851851,12.27272727,0.37037037,5.057239057,12.27272727,50,135,2.444444444,1,6.414814815
Netclan20241114,https://insights.blackcoffer.com/incident-duration-prediction-infrastructure-and-real-estate/,1,1,0,0.018518518,12,0.555555556,5.022222222,12,60,108,2.685185185,4,7.111111111
Netclan20241115,https://insights.blackcoffer.com/statistical-data-analysis-of-reinforced-concrete/,7,2,0.555555494,0.051428571,13.46153846,0.52,5.592615385,13.46153846,91,175,2.8,4,7.531428571
Netclan20241116,https://insights.blackcoffer.com/database-normalization-segmentation-with-google-data-studio-dashboard-insights/,4,0,0.99999975,0.037735849,7.571428571,0.452830189,3.209703504,7.571428571,48,106,2.613207547,8,6.5
Netclan20241117,https://insights.blackcoffer.com/power-bi-dashboard-to-drive-insights-from-complex-data-to-generate-business-insights/,4,2,0.333333278,0.04137931,9.666666667,0.372413793,4.015632184,9.666666667,54,145,2.337931034,8,6.220689655
Netclan20241118,https://insights.blackcoffer.com/real-time-dashboard-to-monitor-infrastructure-activity-and-machines/,1,1,0,0.037735848,10.6,0.58490566,4.473962264,10.6,31,53,2.679245283,2,6.849056604
Netclan20241119,https://insights.blackcoffer.com/electric-vehicles-ev-load-management-system-to-forecast-energy-demand/,3,2,0.19999996,0.034482758,12.08333333,0.434482759,5.007126437,12.08333333,63,145,2.551724138,7,6.565517241
Netclan20241120,https://insights.blackcoffer.com/power-bi-data-driven-map-dashboard/,1,0,0.999999,0.071428566,14,0.5,5.8,14,7,14,2.571428571,0,7.071428571
Netclan20241121,https://insights.blackcoffer.com/google-local-service-ads-lsa-leads-dashboard/,17,3,0.699999965,0.066225165,10.06666667,0.450331126,4.206799117,10.06666667,136,302,2.536423841,3,6.529801325
Netclan20241122,https://insights.blackcoffer.com/aws-lex-voice-and-chatbot/,8,0,0.999999875,0.047619047,11.2,0.339285714,4.615714286,11.2,57,168,2.160714286,5,5.785714286
Netclan20241123,https://insights.blackcoffer.com/metabridges-api-decentraland-integration/,1,2,-0.333333222,0.018867924,10.6,0.452830189,4.421132075,10.6,72,159,2.327044025,0,6.402515723
Netclan20241124,https://insights.blackcoffer.com/microsoft-azure-chatbot-with-luis-language-understanding/,5,0,0.9999998,0.069444443,12,0.472222222,4.988888889,12,34,72,2.513888889,0,6.388888889
Netclan20241125,https://insights.blackcoffer.com/impact-of-news-media-and-press-on-innovation-startups-and-investments/,8,4,0.333333306,0.088235293,7.157894737,0.404411765,3.024922601,7.157894737,55,136,2.455882353,8,6.176470588
Netclan20241126,https://insights.blackcoffer.com/aws-quicksight-reporting-dashboard/,7,3,0.39999996,0.0625,16,0.35625,6.5425,16,57,160,2.34375,5,6.13125
Netclan20241127,https://insights.blackcoffer.com/google-data-studio-dashboard-for-marketing-ads-and-traction-data/,9,2,0.636363579,0.045081967,15.25,0.385245902,6.254098361,15.25,94,244,2.319672131,8,6.229508197
Netclan20241128,https://insights.blackcoffer.com/gangala-in-e-commerce-big-data-etl-elt-solution-and-data-warehouse/,6,2,0.499999938,0.062015503,10.75,0.333333333,4.433333333,10.75,43,129,2.317829457,8,6.11627907
Netclan20241129,https://insights.blackcoffer.com/big-data-solution-to-an-online-multivendor-marketplace-ecommerce-business/,15,0,0.999999933,0.097402597,19.25,0.324675325,7.82987013,19.25,50,154,2.38961039,5,6.311688312
Netclan20241130,https://insights.blackcoffer.com/creating-a-custom-report-and-dashboard-using-the-data-got-from-atera-api/,1,0,0.999999,0.029411764,11.33333333,0.5,4.733333333,11.33333333,17,34,2.411764706,2,6.558823529
Netclan20241131,https://insights.blackcoffer.com/azure-data-lake-and-power-bi-dashboard/,6,2,0.499999938,0.082474226,9.7,0.525773196,4.090309278,9.7,51,97,2.93814433,0,7.721649485
Netclan20241132,https://insights.blackcoffer.com/google-data-studio-pipeline-with-gcp-mysql/,1,2,-0.333333222,0.04347826,17.25,0.47826087,7.091304348,17.25,33,69,2.31884058,1,6.202898551
Netclan20241133,https://insights.blackcoffer.com/quickbooks-dashboard-to-find-patterns-in-finance-sales-and-forecasts/,8,0,0.999999875,0.047904191,15.18181818,0.508982036,6.276320087,15.18181818,85,167,2.646706587,2,6.820359281
Netclan20241134,https://insights.blackcoffer.com/marketing-sales-and-financial-data-business-dashboard-wink-report/,1,0,0.999999,0.007692308,8.666666667,0.446153846,3.645128205,8.666666667,58,130,2.484615385,3,6.653846154
Netclan20241135,https://insights.blackcoffer.com/react-native-apps-in-the-development-portfolio/,0,0,0,0,16,0.1875,6.475,16,3,16,1.0625,1,5.375
Netclan20241136,https://insights.blackcoffer.com/a-leading-firm-website-seo-optimization/,2,0,0.9999995,0.035714285,9.333333333,0.589285714,3.969047619,9.333333333,33,56,2.571428571,0,6.678571429
Netclan20241137,https://insights.blackcoffer.com/a-leading-hospitality-firm-in-the-usa-website-seo-optimization/,4,0,0.99999975,0.067796609,9.833333333,0.372881356,4.082485876,9.833333333,22,59,2.389830508,0,6.508474576
Netclan20241138,https://insights.blackcoffer.com/a-leading-firm-in-the-usa-website-seo-optimization/,2,2,0,0.095238093,21,0.261904762,8.504761905,21,11,42,2.119047619,0,6
Netclan20241139,https://insights.blackcoffer.com/a-leading-musical-instrumental-website-seo-optimization/,2,3,-0.19999996,0.106382976,6.714285714,0.553191489,2.906990881,6.714285714,26,47,2.425531915,0,6.361702128
Netclan20241140,https://insights.blackcoffer.com/a-leading-firm-in-the-usa-seo-and-website-optimization/,2,1,0.333333222,0.06976744,7.166666667,0.558139535,3.089922481,7.166666667,24,43,2.465116279,0,6.627906977
Netclan20241141,https://insights.blackcoffer.com/immigration-datawarehouse-ai-based-recommendations/,8,0,0.999999875,0.058823529,9.714285714,0.426470588,4.056302521,9.714285714,58,136,2.492647059,7,6.823529412
Netclan20241142,https://insights.blackcoffer.com/lipsync-automation-for-celebrities-and-influencers/,1,0,0.999999,0.014084507,10.14285714,0.577464789,4.288128773,10.14285714,41,71,2.704225352,4,6.422535211
